id,text,BJP,Congress,Others
1302,Chose between BJP or no india.?,1,0,0
1303,My vote to BJP always,1,0,0
1304,Be sure Modiji will be certainly in power certainly with full majority of BJP alone. I can give more better true reasons than this paid media.?,1,0,0
1305,My vote for Modi he definitely deserve another term..?,1,0,0
1306,"Hopefully India will be sensible this time and not chose modi, modi destroyed india?",0,1,1
1307,These bergers will disappear when final results will come. Modi will be PM of India until 2029 .?,1,0,0
1308,Hope one more tenure of BJP. Pray the god. NAMO=MODI?,1,0,0
1309,Modi is going to win. BJP IT wing did the magic.. no strong leader from opponent party.?,1,0,0
1310,"Say what you want to, Modi is going to win 2019 ",1,0,0
1311,Bjp ll never ever win 2019 elections I challenge you bjp bhakts.?,0,1,1
1312,no more bjp he lead to backward... only for corporates he ruling he allowed him to go and saying who gave money..??? actually how u know weather pay or not .. if adani gone in next upa government time then whose problem...??? they don't have brain to think..????,0,1,1
1313,My vote to modi?,1,0,0
1314,"My future is in good hands. BJP again for sure. War or no War, demon, GST or award wapsi drama, nothing can change Modi coming to power.?",1,0,0
1315,BJP will be win again cause they got benefit from incidents happened in last 2 weeks and if you are living under water then you are stupid enough to think that someone else will be winner..?,1,0,0
1316,"India today just opposes BJP ????,,,,MODIJI will come with massive majority",1,0,0
1317,Modi must win else this country would be looted again by traitors aka rest of the parties?,1,0,0
1318,BJP is killing India?,0,1,1
1319,indian election style is still old.....blame pakistan and win?,1,1,1
1320,No doubt #RahulGandhi will come to power!!,0,1,0
1321,India for development and Modi for development..corruption free person mr modi..?,1,0,0
1322,I will vote for bjp not because I like it but I cannot see rahul as my pm. No alternative...?,1,0,0
1323,Modi has Pakistan scared !!! And he even stand up to China in Doklam !!!!! If he doesn’t return then India will stop growth and economic development. !!!!?,1,0,0
1324,"Don't dream, that bjp will win, bjp will loose in 2019, because of worst politics, country is in undeclared emergency, if any one question government his property. ",0,1,1
1325,Bjp is not crossing double dezit in 2019 elections.?,0,1,1
1326,Definitely Congress win?,0,1,0
1327,My humble & honest feelings are that india needs a decisive leader.Mr Modiji has all qualities of a great leader.Good luck to India.?,1,0,0
1328,If Modi loses this general election then India will become weaker and weaker and go to War(War will destroy Indian economy) with Pakistan and China so all educated Indians should vote for Modi once again to save their nation from Western powers.?,1,0,0
1329,Only Modi. Not only 2019 also 2024 too will be win one and only Modi.?,1,0,0
1330,i just turned 18 and will cast my first vote in 2019 general election and i promise tat i will definitely vote for BJP?,1,0,0
1331,In 2014 some coporates made BJP win by hacking EVM machine for their own benefits.?,0,1,1
1332,I m an true Indian ...i ll vote for modi once again ..god bless this powerful leader ..?,1,0,0
1333,BJP WILL WIN THE CONGRESS WILL LOSE.?,1,0,0
1334,BJP delivered nothing as promised...and Modi really turned to be a Feku....if people realise that...BJP won't get even 100 seats...?,0,1,1
1335,Whenever I think to vote BJP . Giriraj Singh always makes my decision change. There is acute shortage of educated people in BJP . This Giriraj Singh has very important ministry but what he did we all know.,0,1,1
1336,"only fake EVM will benefit BJP but its true and fair 3rd front will get 50% votes or seats Congress is weak, Bjp is v dangerous for the country and another divisions will be happen means india will devide?",0,1,1
1337,INDIA IN SAFE HANDS !! DEAR VOTERS PLEASE CONTINUE CURRENT GOVERNMENT?,1,0,0
1338,"BJP is going to sweep big time.. May be over 300 by itself! in 2014, around 2.5 crores Karyakarta worked during election, this time it's over 11 crores.",1,0,0
1339,I will vote for any black dog but not to modi....in 2019.?,0,1,1
1340,"For the first time in history, we are seeing the emergence of Hindu fascism. If BJP wins these elections, we might just see the formation of a Hindu Nazi state.?",0,1,1
1341,Modi is using war to win elections ..it's a shame.?,0,1,1
1342,BJP will win guys . No matter what you guys talk and try to make them look bad. We all know how the other parties are and Rahul Gandhi seriously as a PM . I can't imagination .?,1,0,0
1343,Modi for sure is going to win,1,0,0
1344,What is Rahul...why india needs rahul...why priyanka..just because they are from family of gandhi?,1,0,1
1345,Every indian should vote for Modi ji?,1,0,0
1346,"Modi will win is reality, idiots and vicious Yogendra Yadav is vitiating it by strong anti-BJP and anti Modi bias that impaired his capability as balanced judge or point of view. Modi has done ground breaking changes. We don't need such Urban naxals ...?",1,0,0
1347,Last election my vote was wasted for voting AAP but this time its for Modi again ...! NAMO again PAPU cant handle a big responsibility of India evn for 1 single day.?,1,0,0
1348,No doubt that bjp will lose. 1- No relief given to farmer. 2- Unemployment at highest stake. 3- Intolerance,0,1,1
1349,"MODI comes once in a lifespan, so I will just ignore my constituency and will vote for Mr. Modi.",1,0,0
1350,Modi is the best prime minister ever india had?,1,0,0
1351,We want only Bjp ...you failiurs only can critisize and put our country in a danger ous situation ...god bless Modi ..we all are going out and unite coz for us nation first ...and we r going to save our jawans and pm ...?,1,0,0
1352,I will be very glad to cast my first ever vote to Modi Sir this election.....no one in any political party can compete with modi sir...?,1,0,0
1353,"Am not Congress fan but we need them right now cause bjp has done a lot of harm to our country... evry ome knows that... but some don’t want to accept it... dear it’s about our India and our future.., these 5 years under modi has put us 15 years back?",0,1,0
1354,Only Congress great party for the people of greatest country India?,1,0,0
1355,"t’s not about numbers , it’s about new India , developed India , economical development. Modi Modi Modi , 350+ alone .?",1,0,0
1356,"Modi has delivered basic needs of public. Modi government has taken all majority steps with think about vote bank, I mean to say the nation first for him. ",1,0,0
1357,Modi has the money. Even though Indians haven't received their 15lakh or emoloyment or women safety and this farmer crisis and everything..money talks.?,0,1,1
1358,I will also vote for BJP in 2019?,1,0,0
1359,modi will definitely win for his foreign policy now ppl have understand why he was doing foreign trips?,1,0,0
1360,"If Modi will not come again ,it will affect badly for country, Congress and other parties is the agent of Pakistan and china . Rahul is a nasty dirty politicians.?",1,0,0
1361,BJP will not win unless u come out off ur comfort and give vote..take leave from job and vote BJP?,1,0,0
1362,CONGRATS MODI JI IN ADVANCE...... ALL SURVEYS FAVOURS MODI JI..,1,0,0
1363,Modiji will become PM again?,1,0,0
1364,Choukidar Sher hai ...NAMO AGAIN 2019,1,0,0
1365,"Pls give clear majority to Modiji lead BJP, that's very important, otherwise these NDA partners will play around and Modiji not able to take decisive steps. ",1,0,0
1366,Only MODI...in 2019.... CONGRESS=PAKISTANI PARTY,1,0,0
1367,Modi was the happiest when Pulwama happend trust me?,0,1,1
1368,BJP did Pulwama attack if no I wanted to see all those 400 terrorist killed by media?,0,1,1
1369,"BJP is on the course of making this country as hindu rashtra with reviving of old varna system. First BJP trying to win election using war ,then remove democracy and indian constitution and finally bringing back manu smriti.?",0,1,1
1370,"War is being used to win elections in India. It is Modi, who made the JeM terrorist to kill 40 of our soldiers with RDX so that he can use this crisis to create a war like situation so that he can increase the vote share... Superb",0,1,1
1371,feku is doing this for political gain..shame ...we need educated PM not?,0,1,1
1372,WAR is winning 2019 in General election. War is used to win votes. Now BJP got 40 Jawan kill it would WIN.?,0,1,1
1373,"Is BJP protecting us or our army. Is BJP above INDIA? Before 2014 also, INDIA was free and powerful we defeated Pakistan many times and that too before 2014. Pakistan is not any criteria in our voting decision.?",0,1,1
1374,It doesn't seem the Bakhts will not be going to embrace this Truth.. But those who stand on their own brains will definitely understand it... It's a stunt by Mr. MODI...?,0,1,1
1375,Common people of both counties want #Peace but the the media & Govts don't?,0,1,1
1376,"Modi Sher Vs Anti National , Remote Control , Corrupt , Papu ,Paki supporter and Maha Gatbhandhan Kutte?",1,0,0
1377,If there will be any government in 2019 it has to be NDA otherwise it will be re-election. Other coilation would never come together to make government moreover they will never accept Congress leadership.?,1,0,0
1378,"BJP alone will cross 300 mark; Congress will wiped out, that is certain.?",1,0,0
1379,I am never going to vote for congress .... The person who don’t knw how to respect the PM of the country how can u except that person to be humble and respectful to the common man ,1,0,0
1380,Modi modi once more. he is Developing our hindustan?,1,0,0
1381,"Vajpayee, Rajnath Singh, Narendra Modi and Yogi are the only few leaders, who are never corrupted.?",1,0,0
1382,Rahul Rahul Rahul?,1,0,0
1383,"Modi is hardworking, honest and world ranked 3 greatest leader. On the other hand, Rahul Gandhi is under average personality and not qualified for PM.?",1,0,0
1384,Even in 2014.. The poll showed 230-240 seats for NDA.. & rest was the history.. So this time they are showing 250+ that clearly means NDA will have 350+ seats ..?? Fir sae Modi Sarkar?,1,0,0
1385,If khangress wins there will be no safety to hindus..?,1,0,1
1386,MODIJI will win with clear majority?,1,0,0
1387,Congress will get less than 20 LS seats?,1,0,1
1388,Each nonsense by Rahulay at least take away 100s &1000s of votes away from him. Finally he will end up with less than 30 seats & as expected blame it on even. Rahul will never be India's PM. He has no capability to even be a chaiwala at parliament canteen.?,1,0,1
1389,2019 Congress year?,0,1,0
1390,"Indian National Congress is not started by a family, it is systematically hijacked by a family. It is not mere dynasty, there is trechery in it. Otherwise how can the great Indian National Movement when it became a party it became family party??",1,0,1
1391,If modi comes again all indian citizens future is gone?,0,1,1
1392,Congess will win in 2019?,0,1,0
1393,nice try but bjp will not going to cross 150+...sorry to say its the fact...will you guys tell me which 9 costitution bjp going to win in bengal? i bet for zero for bjp?,0,1,1
1394,i m not RSS or BJP.... i pretict... BJP will become single largest party.... and will form the NDA Govt. 2?,1,0,0
1395,Bjp wont get majority but will definitely be single largest party?,1,0,0
1396,My Family vote only modi....?,1,0,0
1397,"Modi has done more then 182 defence deal in these 5 years . S400 missile ,ak203: Assault rifle, rafale, Apache fighter jet, Chinook fighter helicopter, k9 vajra tank ,m777 howziter tank .and many more the list is quite big Congress did nothing in defense sector in 10 years",1,0,0
1398,Pakistan is hoping for Rahul under Congress India will be weak.?,1,0,1
1399,Only BJP.. NDA... Youth of India we can change ur fate... Future generations?,1,0,0
1400,Yes..he deserves one more chance..let's vote for Modi.Rahul Gandhi is not fit to become our prime minister.We want a mature and brainy person.?,1,0,0
1401,I think Congress should bring sashi tharor at last minute.?,0,1,0
1402,"Modi,Modi and only Modi is the person who should be developed our country. I will vote only for Modi ji Jay Hind Jay Bharat",1,0,0
1403,"No doubt, Modi is the next PM ",1,0,0
1404,2 min silence for those diaper changers who think pappu shall be next pm?,1,0,1
1405,"BJP most likely to sweep this election 2019. But there could be a fatality to Modi,in which case Rajnath or Jaitley could be fielded by the party. Rahul Gandhi will most likely never be PM of India. But in 2024 it could be Priyanka Gandhi.?",1,0,0
1406,Modi made India as a strong country and no one ever worked hard like him ??? Even a kid in India knows who will be next PM .. Plannet X ?? Wow where is Y and Z ?? Not Indian / Chinese astrology ... I guess it's from his mom's _____?,1,0,0
1407,The day when Rahul Gandhi will become pm we will develop such technology that we can push Pluto out of its orbit?,1,0,1
1408,2019 for Mr modi and 2024 is for Mr. Rahul gandhi.?,1,0,0
1409,"MR MODI IS COMING BACK HIS HATERS ARE LESS, HIS LOVERS ARE PHENOMENAL?",1,0,0
1410,"Mr MODI IS CMNG BACK WITH A VERY BIG WIN ,PAPU GANDHI HAS NO EXPERIENCE OF GOVERNANCE,HE CAN'T RUN HIS HOME ,HOW ONE WILL VOTE FOR PAPU??? JUST ATTACKING OPPONENT IS NOT ENOUGH ,U NEED TO SHOW UR ACHIEVEMENT AND PRESENT GOVERNANCE MODEL TOO?",1,0,0
1411,No respect for women under modi Ji government and lots raps India is not for women under his government I hope modi gov will be gone?,0,1,1
1412,"Mr modiji is coming back Kudos to modiji ,the statesman?",1,0,0
1413,"I am not a bjp bhakt or a congress supporter but if its to decide between Modi and Rahul, i will go for Modi.?",1,0,0
1414,If BJP wins.. A bad omen for all Indians...?,0,1,1
1415,It's gonna be Modi again..People look to him to lead the country.?,1,0,0
1416,Modi ji is much better. 5 yrs is comparable to 70 yrs which is already a success for BJP. I can't say anything about the public sector but the defense is really happy. He made the defense much much stronger than 70 yrs of Congress rule. I am army BRAT and 95% of defense people want modi ji?,1,0,0
1417,BJP will not win.?,0,1,1
1418,I'm a first voter. I'll vote for modi?,1,0,0
1419,Modi is our asset while gandhi pariwar is our liability.?,1,0,0
1420,Puppu you will never be PM of India ????. Modi Ji will be PM Again & Again,1,0,0
1421,Rahul Gandhi’s won’t become PM in his lifetime After modi it will be YOGI or Sambit patra BJP is planning really well the roadmap is clear ,1,0,0
1422,"Bengal will vote modi, no mamata?",1,0,0
1423,Only Narendra Modi deserves to become PM.?? Indian needs a decisive & visionary leader who can work on every front not caste politics.,1,0,0
1424,Modiji Will be PM in 2019.There is no Alternative candidate to him?,1,0,0
1425,Only Congress?,0,1,0
1426,No..no..no..not bjp again..no continues 2nd term..not good for country..?,0,1,1
1427,Modi is our next prime minister. Just support bjp all my brothers and sisters of india.,1,0,0
1428,We support Rahul?,0,1,0
1429,This guy is manipulating the minds of people..Modi is going to lose the election this time,0,1,1
1430,"I am from South india modi is the best PM in the world,we were faced so much problems while con(khan)gress party ruling ,so much Hindus killed by Congress supported jihadies,now all over, modi again har har modi gar gae modi?",1,0,0
1431,Modi is the King .People will make the King .India is secured in his hand?,1,0,0
1432,Modi works for 18 hours a day continuously for 5 years ,1,0,0
1433,If bjp wins India will loose its democracy?,0,1,1
1434,My request here in comment section to vote for BJP on the day of election don't miss that day ???? lets together make India great again????. I am ex muslim not muslim dont think indian muslims think like me .?,1,0,0
1435,"Country will be destroyed completely if Modi comes to power again. All PSUs are bleeding. Indian economy is at its deepest. Corruption reach SC, EC, CBI, and all institution. Still you want Modi as PM. If BJP comes to power also Modi must not become PM.?",0,1,1
1436,Modi wins BBC: Russia interfering in Indian election?,1,0,0
1437,ITS MODI THIS TIME....with majority or without majority is the question......i hope with majority he comes again.?,1,0,0
1438,We Want Modi Ji to make Bharath Great Again?,1,0,0
1439,"My prediction... Bjp wouldnt come with full majority.. It will be a close call..but at the end, it will be NDA govt... The reason is that opposite doesn't have a PM candidate..None of the candidate is as strong as Modi..?",1,0,0
1440,Rahul Gandi deserve PM Now Our Modi desperate us in every field.?,0,1,0
1441,Vote for nota.if you want any change?,0,0,0
1442,CONGRESS ONLY?,0,1,0
1443,BJP has demolished the harmony between the citizens in India. BJP fooled all the citizens by fake promises.?,0,1,1
1444,BJP IT cell working at full capacity in comment section,0,1,1
1445,"India needs Dr Shashi Tharoor as PM , India needs a new Prime Minister. #Nomodi?",0,1,0
1446,fake news...india want modi again...?,1,0,0
1447,India wants modi?,1,0,0
1448,Modi 2019... Congress free Bharat... Chutiya British...?,1,0,0
1449,My vote to Modi one of the leader at that time for India,1,0,0
1450,Indians want present PM Modi to become PM again and again?,1,0,0
1451,Modi is a real zero he says that he himself went to Pakistan and done surgecal strike and my fellow Indians nod their heads like sheep's especially north Indian states i am happy to say that in my Andhra Pradesh 0.01% only sheep's?,0,1,1
1452,Modi And its Party BJP will hack Polling Stations To win The Upcomming Elections like they Did in 2014. So Again Radical Hindu Party will Rule And Ruin India?,0,1,1
1453,Modi is gonna win and most of Indians support him ,1,0,0
1454,Modi is a thief?,0,1,1
1455,If not modi then who? And pls. Don't think people will vote pappu.?,1,0,0
1456,Say again no to Bjp and Congress.?,0,0,1
1457,Votte for Congress?,0,1,0
1458,If the majority votes for modi just know india is looking for some further humiliation like how can you trust your soldiers lives to some tea seller??,0,1,1
1459,Vote for.congress?,0,1,0
1460,If Modi wins again there will be a war we need to stop this.?,0,1,1
1461,we want change. no more modi.?,0,1,1
1462,Well come Modi ji in 2019?,1,0,0
1463,Modi is necessity?,1,0,0
1464,Both BJP and Congress not fit to govern India .India needs a formation of new government with young people and vision without no corruption to develop India?,0,0,1
1465,"BJP congress working for Hindi people all North India are Pakistani. Language die nation will die learn from chiana Kerala Japan Tamil., vote anybody but don't vote northern politicians.?",0,0,1
1466,Modi is the best PM for our country.?,1,0,0
1467,We love Modi Mumbai will vote for Modi?,1,0,0
1468,Rahul will win.. paid media..?,0,1,0
1469,Congress?,0,1,0
1470,My vote is for Rahul Gandhi?,0,1,0
1471,Vote for congress bhai log aur meri mitro if u want middle class should be treated with all the terms and conditions help win congress?,0,1,0
1472,BJP will get 300+?,1,0,0
1473,"Congress spokesperson is saying modi is coward, how come? He has attacked Pakistan 2 times in his tenure! He is dashing and dynamic and visionary PM, he is non corrupted, my vote goes to BJP?",1,0,0
1474,BJP will not win unless u come out off ur comfort and give vote..take leave from job and vote BJP?,1,0,0
1475,Only vote for BJP?,1,0,0
1476,Bjp win?,1,0,0
1477,Greatest and dearest modiji should win more than 499+ seats in lokshabha election 2019.?,1,0,0
1478,Best PM. Gud government.. Once again Modi 300+..?,1,0,0
1479,Namo is great .BJP?,1,0,0
1480,Only MODI...in 2019.... CONGRESS=PAKISTANI PARTY,1,0,0
1481,will vote for modi...i need my future?,1,0,0
1482,Modiji will become PM again?,1,0,0
1483,1 minute silence for antimodi guys..?,1,0,0
1484,Popularity of Modiji is going to increase comparatively after the Pulwama attack as per survey 62 %. It is obvious Modiji back again in 2019 . Popularity of Rahul comes down after Balakot attack and no hope at all to be,1,0,0
1485,Media only supports bjp?,1,0,0
1486,vote for Congress tumhe tumari Bharat maa ki kasam?,0,1,0
1487,Once again BJP will lead?,1,0,0
1488,I'm very scared.. Pata nahi kaun jitega.. I'll vote for modi ji?,1,0,0
1489,BJP will give tough competition but will not get majority?,0,1,1
1490,No bjp?,0,1,1
1491,"If Modi will not come again ,it will affect badly for country, Congress and other parties is the agent of Pakistan and china . Rahul is a nasty dirty politicians.",1,0,0
1492,"BJP will get 400+ Seats independently ... This my Analysis . Mr. Modi is the best Prime minister in the world at present . So , India can't afford to loose him in the current situation .?",1,0,0
1493,"Shame on Punjab Real Sikhs never vote to Congress, after what they did with them.?",1,0,1
1494,BJP will come in Majority by it's own?,1,0,0
1495,BJP will lose?,0,1,1
1496,All comments are in favour of Modi..?,1,0,0
1497,Vote for bjp. I am ready to travel 1500 km for voting.?,1,0,0
1498,Modi most wellcame?,1,0,0
1499,Punjab always votes differently than all India.?,0,0,0
1500,Plz vote for Modiji. Whole of India should vote for BJP. Or else people will be doomed. It will be back to bhrastachaar again and India will be gone back to square one again.?,1,0,0
1501,We need Modi again?,1,0,0
1502,I am ready to travel 1500 km for voting for Modi?,1,0,0
1503,I hate congress for everything?,1,0,1
1504,Nation first only modiji Please vote?,1,0,0
1505,"If we lost person like Modi india will lost its vision, we should give one more chance ",1,0,0
1506,All the media had been instructed to say that Modi will win But he will lose?,0,1,1
1507,"no options other than MODI ji, only MODI ji can lead us to a better, prosperous and developed India . He is also the only hope for those of us who want to see a disintegrated pakistan. jai bharat jai NAMO?",1,0,0
1508,The new exit poll of mine is like that on the basis of failure to create a massive jobs to the Frustrated Yuths and Farmers Mr.Modi remained a PM of promises and lip services only. ,1,0,0
1509,"no options other than MODI ji, only MODI ji can lead us to a better, prosperous and developed India . He is also the only hope for those of us who want to see a disintegrated pakistan. jai bharat jai NAMO?",1,0,0
1510,Bjp is super and best Modiji is grate only vot for bjp only Bjp only?,1,0,0
1511,If Modi will not come back then it is unfortunate for this country .India needs modi please vote for BJP?,1,0,0
1512,Rahul ghandhi is best..?,0,1,0
1513,Modi only. BJP 350+ Definitely.?,1,0,0
1514,these channels are trying to fool the country. stop such assumption in public media. stop fooling the nation? by making modi a hero,0,1,1
1515,"am from nepal,,,,, and i love NARENDRA MODI JI,,,, HE IS AMAZING AND GREAT PRIME MINISTER IN THE WORLD,,,MY ROLE MODEL,,, DARING?",1,0,0
1516,No congress in 2019 pls....?,1,0,1
1517,No more namo?,0,1,1
1518,Bjp failed failed failed?,0,1,1
1519,We want Modi????..we are repenting for what we have done for Atal'ji ,1,0,0
1520,"Congress has no option than barking at Modi. Congress who sold our nation 70 years, from srilanka to maladeep we lost all because of congress?",1,0,1
1521,Each and every nationalist person must come out and vote for BJP and Modiji! To make corruption free India?????,1,0,0
1522,Only Modi Ji?,1,0,0
1523,CONGRESS MEANS CORRUPTION?,1,0,1
1524,Not only commenting...but me and my entire family of 50 are going to polling station to vote...for MODIji?,1,0,0
1525,All Hindu full support modi ji vote bjp ko?,1,0,0
1526,If Indians are brainy than they should change Modi?,0,1,1
1527,East or West Modi is Best,1,0,0
1528,Namo again?,1,0,0
1529,Brother don't provide fake report.... Everywhere only BJP can win?,1,0,0
1530,This time BJP will be Zero not even in the opposition on MKD will rule in 2019?,0,0,1
1531,Congress will win 347 seats.bjp will win 76 seats only.?,0,1,0
1532,MODI TERRORIST DEFEATED AGAIN IN NEW YORK,0,1,1
1533,To save this country from anti National and anti Hindu congress party all the people are requested to vote the bjp,1,0,0
1534,Rahul Gandhi is always best?,0,1,0
1535,I love modi great pm?,1,0,0
1536,Old school always blindly follows Congress ... But new India have decided on BJP...?,1,0,0
1537,"To save this country from anti National and anti Hindu congress party all the people are requested to vote the bjp.If Modi is losted entire country will be in corruption, family politics and economic crisis?",1,0,0
1538,Congress will win 347 seats.bjp will win 76 seats only.?,0,1,0
1539,"Modi is the Best PM India ever had. He works hard for the success , prosperity & security for all Indians He should continue for another term with absolute Majority.?",1,0,0
1540,This is just beginning. As election will come near modi wave Will be converted in tsunami. Modiji jindabad?,1,0,0
1541,Times now will be surprised after election by seeing modi one side victory with BJP s 350 plus seats and with NDA s 450 plus seats Country needs strong leader modi?,1,0,0
1542,"great news Modji should rule another 3 terms as PM, by this time Italian mother, her children and grand children should be send to Italy.?",1,0,0
1543,500 seats for BJP. ITS GOIN TO BE MODI TSUNAMI.....?,1,0,0
1544,Wait for the Slog Overs of Modi lehar its gonna become Tornado. NaMo for 2019?,1,0,0
1545,Modi wave is coming...it's a bigining...?,1,0,0
1546,Again come in Modiji Government in power of India.?,1,0,0
1547,"In west Bengal, there is no scope for BJP, only TMC only didi....?",0,1,1
1548,Request to UP please do not vote for MGB?,1,1,0
1549,"congress has been retaining its ground and the situation is taking turn every day in congress and Rahul Gandhi favour , obviously it was not expected to happen but despite all efforts of Modi",0,1,0
1550,Rahul all of a sudden emerged as the rising star of modern Indian politics and people started joining him that's the Tsunami of congress and will wash out all opponents for sure you stand and wait till 23rd May?,0,1,0
1551,BJP will win in up?,1,0,0
1552,Come on it’s between 55 to 63 from up as I myself roamed in up for my project bjp have edge in up congress may get 6 7 seats and vote bnk of sp is not gng to vote fr bsp thank me on 23 may?,1,0,0
1553,Congress will not even cross 50!?,1,0,1
1554,"Bjp = 180-200 Congress= 120+ Next pm ""NITIN GADKARI"" ?? Accept or neglect it,,,,,?",1,1,0
1555,Modi is assigned with duty of eliminating evil as explained in Bhagavath Gita... I expect Modi wave in my state Kerala also...?,1,0,0
1556,Modi will be PM again ..?,1,0,0
1557,"Pakistan always supported Congress in India, they blossomed under the regime of Congress.?",1,0,1
1558,I can gave 100% chailange to every one my predection is bjp is going huge victory in 2019.?,1,0,0
1559,Congress 60 years ruled back to Italy?,1,0,1
1560,NARENDRA MODI Will Be BACK On SEAT?,1,0,0
1561,I am pretty sure that BJP will more than 50 seats in Uttar Pradesh. Just wait and watch?,1,0,0
1562,"Yes, Congress to be send to Italy. I am 60 years old. I felt ashamed when Ms. Sonia claimed to PM of India such a great country. I am not sure Mr. Subramanyam Swamy claims that he stopped her to be PM. (You can see the reasons in some where else). That bloody prostitute ( Sorry to use this language about a woman), how she caught the prize catch like Mr. Rajeev Gandhi, did not Mr. Rajiv Gandhi could not get a bride in India. She duped like in James Bond movies. ",1,0,1
1563,I support modi ji?,1,0,0
1564,"I believe people in Kerala won't forget fuel price hike, Modi insulting keralites even comparing to Somalia, UP CM asking us to learn from their health/medical field, 15 lakhs to the bank account, demonitisation, and August month when stood United against all odds. Kerala is a state where we don't talk religion and we will never. We will look for the progress of the country, not divide and rule policy by someone from North.",0,1,1
1565,Congress gonna win. Raga?,0,1,0
1566,Bjp cannot win?,0,1,1
1567,"After the results, surely he will realise there one sided projection gone in vain. Congress gonna win . Raga 2019?",0,1,0
1568,"Don't believe just be calm situations clear UPA will capture India, just don't trust this times now and wait for time to turns now?",0,1,0
1569,no modi more. go back bjp .,0,1,1
1570,Congress party win?,0,1,0
1571,"Remember there is no modi wave this time , the candidates are going to make huge difference and no opinion poll is taking into account .Anyways we will see...?",1,0,0
1572,According to the wave and all surveys with local public Nda Will Be face Very huge lose in this election they are not going to get more than 215 seats ,0,1,1
1573,Next Indian prime minister rahul ji?,0,1,0
1574,"Well this election is not Modi verses Rahul, this election is Modi verses a common man, It's Modi verses the distressed Indian Farmer, It's Modi verses the unemployed youth, It's Modi verses the Women's who were promised safety security and justice?",0,1,1
1575,I bet Rahul Gandhi and Kejriwal can give a very tough Competition to IMRAN KHAN.,0,1,1
1576,It is impossible for NDA to win in UP this much?,0,1,1
1577,"public has not forgotten Congress scams, loot, dakait,ghotala, chinastratagy when sia chin was given away, pin was given away.shame Congress.?",1,0,1
1578,Modi and partners take more than 325 to 340 seat dafinatly?,1,0,0
1579,"It would be sooo nice if all parties fought own their own without alliances, so, we know who is popular and who is not!?",0,0,0
1580,Congresss will get seats in Pakistan for sure mamata in Bangladesh?,1,0,1
1581,Opposition will rather have coalition with a dog than with Pappu.?,1,0,1
1582,Modi stands for M Mahathma Mahan O One without a second D Divinity in human form,1,0,0
1583,Vote for BJP..make india safe for hindus..jai hind...?,1,0,0
1584,Congress must allaince with app?,0,1,1
1585,"Stupid and bustards say Rahul Gandhi is not matuered . But he is honest , he is not jhumlebaaj , he doesn't emotional fool ... He doesn't crie like fools in giving speeches..?",0,1,0
1586,Modi is not best. But Rahul don't even have vision for country. He don't know how systems work.?,0,0,1
1587,Modi will cross with 350+ seats?,1,0,0
1588,NAMO will come back in power. No discussion......?,1,0,0
1589,I think for sure its BJP NDA again.... Minorities like us will vote for development. Our Church says 70years since independence we see real feeling of development. So our church youth will vote NDA for first time. ,1,0,0
1590,"We were with Congress. Though we like congress, but dont see a future in this party...... ",1,0,1
1591,Average normal Indian wants Modi to be PM because he is the only capable one exists in today’s world.?,1,0,0
1592,"My vote is for Modi but not for BJP because in his rule only I didn't see single bomb last in big Indian cities like Mumbai, Hyderabad, Bangalore, Ahmedabad, Delhi and etc...?",1,0,0
1593,Uttar Pradesh will make either BJP routed or UPA routed from Indian politics?,1,0,0
1594,Shame on Rahul? Meeting with a Sick man not to console but to take political advantage of. He met with a former French President not to enhance India's ties but to prop up his lust for power.,1,0,1
1595,BJP IS INDIAN ARMY TO PROTECT OUR COUNTRY AGAINST PAKISTAN,1,0,0
1596,"IT IS ALMOST SURE THAT Mr. RAHUL MAY CHOOSE WAYNAD, KERALA,  AN IUML BASTION AS A SAFE CONSTITUANCY IN 2019 ELECTION???? Repentance of a great grand son of Nahru WHO IS NOW GOING TO  LEAD THE KURUSKETHRA WAR ON A ""DEAD HORSE""!!!!!",1,0,1
1597,Modi is a familiar as a terror though out the world?,0,1,1
1598,These polls were taken before the land issue of Ram Mandir which will have positive effect in BJP's favour. If the budget gives out some financial benefits than it will be another crown in the BJP's bag.?,1,0,0
1599,We no Need Feku Modi. We need Decent and Honest Leaders like RaGa. No matter how they talkative...?,0,1,0
1600,Hopefully modi and his goons will be wiped off in May?,0,1,1
1601,"Stop the congress guys , they lie too much, they looted for 70 years, their queen is the 4th richest politician in the world, they distributed the nation in to several pieces by sharing among their partners. Now they want to uplift the poor? they took their bread and butter too. This is new India, stop fooling people.?",1,0,1
1602,The moment UPA crosses 160+ Rahul Gandhi undoubtedly will become the next PM of India?,0,1,0
1603,Master blaster Modi definitely makes final outcome in favour of BJP 275 + alliance 35 n independents 5 total 315. Long live great Bharat.?,1,0,0
1604,The Media channels are working real hard to somehow display Bjp with 272 seats on their screen however if UPA gets only 160+ Rahul Gandhi undoubtedly will become the next PM of India?,0,1,0
1605,Even in 2014.. The poll showed 230-240 seats for NDA.. & rest was the history.. So this time they are showing 250+ that clearly means NDA will have 350+ seats ..??,1,0,0
1606,MODIJI will win with clear majority?,1,0,0
1607,Those who r with Modi...u don't have place outside India.....cuz for u the harmmmmmbahhhh funny our favourite meat is your God hahahahahahahahahahhuhuhuhuhu......I really wish Modi will lose,0,1,1
1608,MODI will win comfortably.?,1,0,0
